product_category,view_sessions,cart_sessions,view_to_cart_rate,overall_benchmark_rate,scenario_extra_carts,scenario_extra_purchases
Home/Shop by Brand/YouTube/,3620,715,0.1975,0.2578,218,40
Bags,2018,356,0.1764,0.2578,164,30
Lifestyle/Bags/,3543,814,0.2297,0.2578,99,18
Backpacks/,361,17,0.0471,0.2578,76,14
Men's T-Shirts/,1344,277,0.2061,0.2578,70,13
Home/Apparel/,5001,1223,0.2446,0.2578,66,12
Unknown,3481,866,0.2488,0.2578,32,6
Kids,939,227,0.2417,0.2578,15,3
Home/New/,3882,992,0.2555,0.2578,9,2
Eco-Friendly,1583,404,0.2552,0.2578,4,1
