week_start,view_sessions,cart_sessions,checkout_sessions,purchase_sessions,view_to_purchase_rate,partial_week
2020-11-23,4428,1237,471,228,0.0515,true
2020-11-30,7784,2617,968,452,0.0581,false
2020-12-07,8221,2708,1039,558,0.0679,false
2020-12-14,7078,2084,697,387,0.0547,false
2020-12-21,4117,985,292,169,0.0410,false
2020-12-28,3111,654,185,94,0.0302,false
2021-01-04,4436,955,229,111,0.0250,false
2021-01-11,4850,1089,330,168,0.0346,false
2021-01-18,6484,1203,484,281,0.0433,false
2021-01-25,6187,1086,396,220,0.0356,true
